Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:33:31.580000,ANT,12,0 days 00:01:52.701000,9.0,2.0,,0 days 00:33:20.588000,0 days 00:00:37.455000,0 days 00:00:23.537000,0 days 00:00:51.709000,0 days 00:32:16.334000,0 days 00:32:39.871000,0 days 00:33:31.580000,136.0,248.0,,238.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:31:38.879000,,1,,False,,False,False
0 days 00:49:17.962000,ANT,12,,10.0,3.0,0 days 00:33:34.451000,0 days 00:36:12.270000,0 days 00:01:33.603000,0 days 00:00:20.153000,,0 days 00:35:05.485000,0 days 00:35:25.610000,,246.0,293.0,,76.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:33:31.580000,,1,,False,,False,False
0 days 00:51:11.597000,ANT,12,0 days 00:01:53.635000,11.0,4.0,0 days 00:49:20.055000,,0 days 00:00:49.236000,0 days 00:00:21.289000,0 days 00:00:43.110000,0 days 00:50:07.198000,0 days 00:50:28.487000,0 days 00:51:11.597000,228.0,259.0,264.0,161.0,False,SOFT,1.0,True,Mercedes,0 days 00:49:17.962000,,1,,False,,False,False
0 days 00:52:58.369000,ANT,12,0 days 00:01:46.772000,12.0,4.0,,,0 days 00:00:40.598000,0 days 00:00:23.113000,0 days 00:00:43.061000,0 days 00:51:52.195000,0 days 00:52:15.308000,0 days 00:52:58.369000,216.0,255.0,277.0,272.0,False,SOFT,2.0,True,Mercedes,0 days 00:51:11.597000,,1,,False,,False,True
0 days 00:54:19.745000,ANT,12,0 days 00:01:21.376000,13.0,4.0,,,0 days 00:00:28.490000,0 days 00:00:17.976000,0 days 00:00:34.910000,0 days 00:53:26.859000,0 days 00:53:44.835000,0 days 00:54:19.745000,269.0,268.0,278.0,296.0,True,SOFT,3.0,True,Mercedes,0 days 00:52:58.369000,,1,,False,,False,True
0 days 01:01:43.330000,ANT,12,,14.0,4.0,,0 days 00:55:59.962000,0 days 00:00:36.801000,0 days 00:00:23.662000,,0 days 00:54:56.873000,0 days 00:55:20.541000,,206.0,243.0,,253.0,False,SOFT,4.0,True,Mercedes,0 days 00:54:19.745000,,1,,False,,False,False
0 days 01:04:01.836000,ANT,12,0 days 00:02:18.506000,15.0,5.0,0 days 01:01:46.801000,,0 days 00:01:13.743000,0 days 00:00:18.673000,0 days 00:00:46.090000,0 days 01:02:57.073000,0 days 01:03:15.746000,0 days 01:04:01.836000,244.0,266.0,213.0,192.0,False,MEDIUM,11.0,False,Mercedes,0 days 01:01:43.330000,,126,,False,,False,False
0 days 01:06:08.081000,ANT,12,0 days 00:02:06.245000,16.0,5.0,,,0 days 00:00:42.493000,0 days 00:00:26.892000,0 days 00:00:56.860000,0 days 01:04:44.329000,0 days 01:05:11.221000,0 days 01:06:08.081000,231.0,188.0,265.0,167.0,False,MEDIUM,12.0,False,Mercedes,0 days 01:04:01.836000,,6,,False,,False,False
0 days 01:07:39.449000,ANT,12,0 days 00:01:31.368000,17.0,5.0,,,0 days 00:00:34.929000,0 days 00:00:19.110000,0 days 00:00:37.329000,0 days 01:06:43.010000,0 days 01:07:02.120000,0 days 01:07:39.449000,229.0,294.0,285.0,252.0,False,MEDIUM,13.0,False,Mercedes,0 days 01:06:08.081000,,671,,False,,False,False
0 days 01:09:04.440000,ANT,12,0 days 00:01:24.991000,18.0,5.0,,,0 days 00:00:29.707000,0 days 00:00:18.703000,0 days 00:00:36.581000,0 days 01:08:09.156000,0 days 01:08:27.859000,0 days 01:09:04.440000,262.0,257.0,278.0,270.0,False,MEDIUM,14.0,False,Mercedes,0 days 01:07:39.449000,,1,,False,,False,True
0 days 01:10:28.741000,ANT,12,0 days 00:01:24.301000,19.0,5.0,,,0 days 00:00:29.615000,0 days 00:00:18.413000,0 days 00:00:36.273000,0 days 01:09:34.055000,0 days 01:09:52.468000,0 days 01:10:28.741000,266.0,282.0,285.0,266.0,False,MEDIUM,15.0,False,Mercedes,0 days 01:09:04.440000,,1,,False,,False,True
0 days 01:11:52.922000,ANT,12,0 days 00:01:24.181000,20.0,5.0,,,0 days 00:00:29.284000,0 days 00:00:18.647000,0 days 00:00:36.250000,0 days 01:10:58.025000,0 days 01:11:16.672000,0 days 01:11:52.922000,270.0,279.0,277.0,275.0,False,MEDIUM,16.0,False,Mercedes,0 days 01:10:28.741000,,1,,False,,False,True
0 days 01:13:40.802000,ANT,12,0 days 00:01:47.880000,21.0,5.0,,0 days 01:13:19.754000,0 days 00:00:29.245000,0 days 00:00:18.352000,0 days 00:01:00.283000,0 days 01:12:22.167000,0 days 01:12:40.519000,0 days 01:13:40.802000,277.0,282.0,,276.0,False,MEDIUM,17.0,False,Mercedes,0 days 01:11:52.922000,,1,,False,,False,False
0 days 01:16:05.908000,ANT,12,0 days 00:02:25.106000,22.0,6.0,0 days 01:13:45.687000,,0 days 00:01:27.934000,0 days 00:00:20.701000,0 days 00:00:36.471000,0 days 01:15:08.736000,0 days 01:15:29.437000,0 days 01:16:05.908000,235.0,292.0,275.0,128.0,False,SOFT,5.0,False,Mercedes,0 days 01:13:40.802000,,1,,False,,False,False
0 days 01:19:07.021000,ANT,12,,23.0,6.0,,,0 days 00:00:39.888000,0 days 00:00:23.170000,,0 days 01:16:45.992000,0 days 01:17:09.174000,,220.0,233.0,115.0,233.0,False,SOFT,6.0,False,Mercedes,0 days 01:16:05.908000,,1,,False,,False,False
0 days 01:20:43.899000,ANT,12,,24.0,6.0,,0 days 01:20:43.899000,0 days 00:00:36.562000,0 days 00:00:21.204000,,0 days 01:19:43.675000,0 days 01:20:04.859000,,229.0,261.0,,213.0,False,SOFT,7.0,False,Mercedes,0 days 01:19:07.021000,,1,,False,,False,False
0 days 00:17:49.383000,LEC,16,0 days 00:02:11.323000,1.0,1.0,0 days 00:15:45.036000,,0 days 00:01:05.432000,0 days 00:00:21.905000,0 days 00:00:43.986000,0 days 00:16:43.792000,0 days 00:17:05.703000,0 days 00:17:49.624000,231.0,251.0,300.0,110.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:15:45.036000,,12,,False,,False,False
0 days 00:20:02.153000,LEC,16,0 days 00:02:12.770000,2.0,1.0,,,0 days 00:00:31.973000,0 days 00:00:30.634000,0 days 00:01:10.163000,0 days 00:18:21.356000,0 days 00:18:51.990000,0 days 00:20:02.153000,266.0,151.0,292.0,209.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:49.383000,,2671,,False,,False,False
0 days 00:21:33.515000,LEC,16,0 days 00:01:31.362000,3.0,1.0,,,0 days 00:00:31.390000,0 days 00:00:19.571000,0 days 00:00:40.401000,0 days 00:20:33.543000,0 days 00:20:53.114000,0 days 00:21:33.515000,245.0,287.0,264.0,266.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:20:02.153000,,1,,False,,False,True
